issue_date,target_time,p10,p50,p90
2026-06-09,2026-06-09 22:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-09,2026-06-09 23:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-09,2026-06-10 00:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-09,2026-06-10 01:00:00+00:00,0.0,1.5448047895668698e-07,1.7922450178540519
2026-06-09,2026-06-10 02:00:00+00:00,1.625205707241343,10.87530714084161,17.519036431103036
2026-06-09,2026-06-10 03:00:00+00:00,0.3683836302834795,8.570282968638518,74.77927502119053
2026-06-09,2026-06-10 04:00:00+00:00,108.82845331950602,174.45190892670158,179.08505765976156
2026-06-09,2026-06-10 05:00:00+00:00,200.21756276668805,265.35802745041605,321.7261530120082
2026-06-09,2026-06-10 06:00:00+00:00,253.33021197007372,365.50023932332135,435.42561335331465
2026-06-09,2026-06-10 07:00:00+00:00,369.44438765375196,511.57540588767864,570.185547879638
2026-06-09,2026-06-10 08:00:00+00:00,440.47450119127404,619.878748396679,733.0341026969168
2026-06-09,2026-06-10 09:00:00+00:00,612.2226856022768,896.5586816393352,955.3970675212698
2026-06-09,2026-06-10 10:00:00+00:00,704.6368411343961,1042.323825640581,1094.6141971903746
2026-06-09,2026-06-10 11:00:00+00:00,630.4167079834888,811.580628566471,1038.0488411502986
2026-06-09,2026-06-10 12:00:00+00:00,577.6896957511037,749.6081459866924,860.372457743938
2026-06-09,2026-06-10 13:00:00+00:00,503.26047473683326,759.0530773443379,766.032940942787
2026-06-09,2026-06-10 14:00:00+00:00,418.5887922164963,612.4610396813199,677.6644873300876
2026-06-09,2026-06-10 15:00:00+00:00,289.40054383803766,400.3431043767144,473.4771772678083
2026-06-09,2026-06-10 16:00:00+00:00,197.2965169148733,336.1099897264701,342.2518743213678
2026-06-09,2026-06-10 17:00:00+00:00,128.57264129256762,209.34913205142553,220.64079065661758
2026-06-09,2026-06-10 18:00:00+00:00,58.68966910067771,96.31088554699177,104.23027001446108
2026-06-09,2026-06-10 19:00:00+00:00,2.4777426292631755,2.9234581544162253,20.05618159259902
2026-06-09,2026-06-10 20:00:00+00:00,1.5448047895668698e-07,0.006210821594757784,0.3536324477476268
2026-06-09,2026-06-10 21:00:00+00:00,0.0,0.0,1.5448047895668698e-07
