issue_date,target_time,p10,p50,p90
2026-06-09,2026-06-09 22:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-09,2026-06-09 23:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-09,2026-06-10 00:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-09,2026-06-10 01:00:00+00:00,0.0,1.54480478956687e-07,1.792245017854052
2026-06-09,2026-06-10 02:00:00+00:00,1.625205707241343,10.87530714084161,17.519036431103036
2026-06-09,2026-06-10 03:00:00+00:00,0.3683836302834795,8.570282968638518,74.77927502119053
2026-06-09,2026-06-10 04:00:00+00:00,108.82845331950602,174.45190892670158,179.08505765976156
2026-06-09,2026-06-10 05:00:00+00:00,200.21756276668805,265.35802745041605,321.7261530120082
2026-06-09,2026-06-10 06:00:00+00:00,253.3302119700737,365.50023932332135,435.42561335331465
2026-06-09,2026-06-10 07:00:00+00:00,369.444387653752,511.5754058876786,570.185547879638
2026-06-09,2026-06-10 08:00:00+00:00,440.4745011912741,619.878748396679,733.0341026969168
2026-06-09,2026-06-10 09:00:00+00:00,612.2226856022768,896.5586816393352,955.3970675212698
2026-06-09,2026-06-10 10:00:00+00:00,704.6368411343961,1042.323825640581,1094.6141971903746
2026-06-09,2026-06-10 11:00:00+00:00,630.4167079834888,811.580628566471,1038.0488411502986
2026-06-09,2026-06-10 12:00:00+00:00,577.6896957511037,749.6081459866924,860.372457743938
2026-06-09,2026-06-10 13:00:00+00:00,503.26047473683326,759.0530773443379,766.032940942787
2026-06-09,2026-06-10 14:00:00+00:00,418.5887922164963,612.4610396813199,677.6644873300876
2026-06-09,2026-06-10 15:00:00+00:00,289.40054383803766,400.3431043767144,473.4771772678083
2026-06-09,2026-06-10 16:00:00+00:00,197.2965169148733,336.1099897264701,342.2518743213678
2026-06-09,2026-06-10 17:00:00+00:00,128.57264129256762,209.34913205142556,220.6407906566176
2026-06-09,2026-06-10 18:00:00+00:00,58.68966910067771,96.31088554699176,104.23027001446108
2026-06-09,2026-06-10 19:00:00+00:00,2.4777426292631755,2.9234581544162253,20.05618159259902
2026-06-09,2026-06-10 20:00:00+00:00,1.54480478956687e-07,0.0062108215947577,0.3536324477476268
2026-06-09,2026-06-10 21:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-10,2026-06-10 22:00:00+00:00,0.0,1.5448047895668698e-07,0.5057334561541481
2026-06-10,2026-06-10 23:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-10,2026-06-11 00:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-10,2026-06-11 01:00:00+00:00,0.0,1.5448047895668698e-07,1.7922450178540519
2026-06-10,2026-06-11 02:00:00+00:00,1.625205707241343,8.924813042256796,17.519036431103036
2026-06-10,2026-06-11 03:00:00+00:00,1.5215457990586125,7.806003579597684,95.98538717744924
2026-06-10,2026-06-11 04:00:00+00:00,156.0376277177422,203.09894368659045,224.87556241608686
2026-06-10,2026-06-11 05:00:00+00:00,300.3420168979931,477.55861377481807,483.04938808527464
2026-06-10,2026-06-11 06:00:00+00:00,523.6723383756084,694.668722439352,793.1768510633071
2026-06-10,2026-06-11 07:00:00+00:00,650.7772675901261,1016.6978509650286,1057.7640410193412
2026-06-10,2026-06-11 08:00:00+00:00,912.7879699344162,1322.1196916710562,1327.379069762387
2026-06-10,2026-06-11 09:00:00+00:00,1034.5416840450407,1449.2285197987198,1585.8362704104086
2026-06-10,2026-06-11 10:00:00+00:00,1262.673083997672,1680.6301303005516,1844.1257158718122
2026-06-10,2026-06-11 11:00:00+00:00,1465.3743394944447,1839.1559040606276,1977.9943027707675
2026-06-10,2026-06-11 12:00:00+00:00,1465.8076847908203,1796.3866447765208,1800.6223620105359
2026-06-10,2026-06-11 13:00:00+00:00,1230.0355551967455,1531.2966825305346,1635.694162019207
2026-06-10,2026-06-11 14:00:00+00:00,992.2173282327772,1332.83366367294,1417.6731528062992
2026-06-10,2026-06-11 15:00:00+00:00,819.9043814029383,895.1634371811361,1034.188395703975
2026-06-10,2026-06-11 16:00:00+00:00,510.64527672644084,593.230280269854,632.8679243868069
2026-06-10,2026-06-11 17:00:00+00:00,230.5864958765581,348.0993385290339,371.39642318069286
2026-06-10,2026-06-11 18:00:00+00:00,98.10025972631276,121.52182962274436,159.41222371807717
2026-06-10,2026-06-11 19:00:00+00:00,0.0,0.0,32.61344752073412
2026-06-10,2026-06-11 20:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-10,2026-06-11 21:00:00+00:00,0.0,0.0,1.5448047895668698e-07
